Relation,relation_text,document
Specification_of,"B-Application of SPSS, B-Application of Statistical Package for the Social Sciences",279.0
Developer_of,"B-Developer of Microsoft, B-OperatingSystem of Windows OS X",280.0
Version_of,"B-Version of 11.2, B-Application of Stata",281.0
PlugIn_of,"B-PlugIn of ice, B-Application of Stata",281.0
Version_of,"B-Version of 19, B-Application of SPSS Statistics",282.0
Citation_of,"B-Citation of [37], B-Application of SPSS Statistics",282.0
URL_of,"B-URL of www.fil.ion.ucl.ac.uk/spm, B-Application of SPM",283.0
Version_of,"B-Version of 8, B-Application of SPM",283.0
Version_of,"B-Version of 4290, B-Application of SPM",283.0
Developer_of,"B-Developer of The MathWorks , Inc ., B-ProgrammingEnvironment of MATLAB",283.0
Release_of,"B-Release of R 2008b, B-ProgrammingEnvironment of MATLAB",283.0
Version_of,"B-Version of 7.7.0.471, B-ProgrammingEnvironment of MATLAB",283.0
Citation_of,"B-Citation of [43], B-ProgrammingEnvironment of R",284.0
Version_of,"B-Version of 3.0.1, B-ProgrammingEnvironment of R",284.0
URL_of,"B-URL of https://www.ebi.ac.uk/Tools/msa/clustalo/, B-Application of Clustal",285.0
Extension_of,"B-Extension of Omega, B-Application of Clustal",285.0
Extension_of,"B-Extension of IC, B-Application of STATA",286.0
Version_of,"B-Version of 10.0, B-Application of Excel",286.0
Developer_of,"B-Developer of Microsoft Corp, B-Application of Excel",286.0
Version_of,"B-Version of 12.1, B-Application of STATA",286.0
Developer_of,"B-Developer of Microsoft Corp, B-Application of Excel",286.0
Developer_of,"B-Developer of Stata Corp, B-Application of STATA",286.0
no_relation,"O of O, O of O",287.0
Version_of,"B-Version of 22, B-Application of SPSS",288.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",288.0
no_relation,"O of O, O of O",289.0
no_relation,"O of O, O of O",290.0
no_relation,"O of O, O of O",291.0
Developer_of,"B-Developer of VSN International, B-Application of AsReml",292.0
Developer_of,"B-Developer of MathWorks International, B-ProgrammingEnvironment of MATLAB",292.0
Version_of,"B-Version of 12, B-Application of STATISTICA",293.0
Version_of,"B-Version of XP, B-OperatingSystem of Windows",293.0
Citation_of,"B-Citation of [21], B-Application of PLINK Statistics",294.0
Version_of,"B-Version of 17.0, B-Application of SPSS Statistics",294.0
Abbreviation_of,"B-Abbreviation of QuIN, B-Application of Querying and visualizing Chromatin Interaction Networks",295.0
URL_of,"B-URL of http://quin.jax.org, B-Application of Querying and visualizing Chromatin Interaction Networks",295.0
PlugIn_of,"B-PlugIn of ASCAT, B-ProgrammingEnvironment of R",296.0
Citation_of,"B-Citation of [45], B-PlugIn of ASCAT",296.0
Citation_of,"B-Citation of [16], B-Application of Stata",297.0
Version_of,"B-Version of 11, B-Application of Stata",297.0
Citation_of,"B-Citation of [38], B-Application of GeNorm",298.0
Version_of,"B-Version of 3.3, B-Application of GeNorm",298.0
PlugIn_of,"B-PlugIn of traj, B-Application of STATA",299.0
Version_of,"B-Version of 12.1, B-Application of STATA",299.0
Citation_of,"B-Citation of [24], B-PlugIn of traj",299.0
Developer_of,"B-Developer of SPSS, B-Application of SPSS",300.0
Version_of,"B-Version of 12, B-Application of SPSS",300.0
Version_of,"B-Version of 10, B-Application of Nvivo",301.0
Developer_of,"B-Developer of QSR international, B-Application of Nvivo",301.0
Citation_of,"B-Citation of [15], B-PlugIn of GenAlEx",302.0
Version_of,"B-Version of 6.5, B-PlugIn of GenAlEx",302.0
Citation_of,"B-Citation of [40], B-Application of VDJtools",303.0
URL_of,"B-URL of http://afni.nimh.nih.gov, B-Application of AFNI",304.0
Version_of,"B-Version of 4.8.2 ., B-Application of Axio Vision",305.0
Developer_of,"B-Developer of Zeiss, B-Application of Axio Vision",305.0
Version_of,"B-Version of 17.0, B-Application of SPSS",306.0
Developer_of,"B-Developer of SPSS Japan Inc ., B-Application of SPSS",306.0
Abbreviation_of,"B-Abbreviation of WPS, B-Application of WholePathwayScope",307.0
Version_of,"B-Version of 19.0, B-Application of SPSS",308.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",308.0
no_relation,"O of O, O of O",309.0
Developer_of,"B-Developer of SPSS, B-Application of SPSS",310.0
Version_of,"B-Version of 16.0, B-Application of SPSS",310.0
no_relation,"O of O, O of O",311.0
Citation_of,"B-Citation of [41], B-Application of PAUP",312.0
Version_of,"B-Version of 4.0b 10, B-Application of PAUP",312.0
URL_of,"B-URL of www.psychtoolbox.org, B-PlugIn of Psychtoolbox",313.0
Developer_of,"B-Developer of Mathworks, B-ProgrammingEnvironment of Matlab",313.0
PlugIn_of,"B-PlugIn of Psychtoolbox, B-ProgrammingEnvironment of Matlab",313.0
Version_of,"B-Version of 5.0, B-Application of GSEA",314.0
Citation_of,"B-Citation of [19], B-Application of GSEA",314.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",315.0
Version_of,"B-Version of 5.0, B-Application of Prism",315.0
URL_of,"B-URL of www.fil.ion.ucl.ac.uk/spm, B-Application of SPM",316.0
Release_of,"B-Release of 14, B-ProgrammingEnvironment of Matlab",316.0
Developer_of,"B-Developer of Mathworks , Inc ., B-ProgrammingEnvironment of Matlab",316.0
Version_of,"B-Version of 5, B-Application of SPM",316.0
Specification_of,"B-Application of SPM, B-Application of statistical parametric mapping",316.0
Developer_of,"B-Developer of Wellcome Department of Cognitive Neurology , Inc ., B-Application of SPM",316.0
Version_of,"B-Version of 18, B-Application of Statistical Package for the Social Sciences",317.0
Abbreviation_of,"B-Abbreviation of SPSS, B-Application of Statistical Package for the Social Sciences",317.0
Version_of,"B-Version of 2.9.2, B-ProgrammingEnvironment of R",317.0
Abbreviation_of,"B-Abbreviation of PASW, B-Application of Statistical Package for the Social Sciences",317.0
Developer_of,"B-Developer of Microsoft Foundation for Statistical Computing, B-Application of Access Package for the Social Sciences",317.0
Developer_of,"B-Developer of R Foundation for Statistical Computing, B-ProgrammingEnvironment of R",317.0
Developer_of,"B-Developer of Graphpad software, B-Application of Prism",318.0
Version_of,"B-Version of 5, B-Application of Prism",318.0
Developer_of,"B-Developer of GraphPad software, B-Application of Prism",318.0
Version_of,"B-Version of 13, B-Application of Stata",319.0
Citation_of,"B-Citation of [30], B-Application of Stata",319.0
Developer_of,"B-Developer of Golden Software, B-Application of Surfer",320.0
Version_of,"B-Version of 8.05, B-Application of Surfer",320.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",321.0
Version_of,"B-Version of 5.02, B-Application of Prism",321.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",322.0
Version_of,"B-Version of 11.5.1J, B-Application of SPSS",322.0
Abbreviation_of,"B-Abbreviation of FSL, B-Application of FMRIB Software Library",323.0
URL_of,"B-URL of http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/, B-Application of FMRIB Software Library",323.0
Citation_of,"B-Citation of [21], B-Application of FMRIB Software Library",323.0
Version_of,"B-Version of 5.0, B-Application of FMRIB Software Library",323.0
Version_of,"B-Version of 1.1, B-Application of CLUMPP",324.0
Citation_of,"B-Citation of [59], B-Application of CLUMPP",324.0
Version_of,"B-Version of 5.0, B-Application of Scope - Pro",325.0
Developer_of,"B-Developer of Media Cybernetics Cybernetics, B-Application of Image - Pro Plus - Pro",325.0
Developer_of,"B-Developer of Media Cybernetics, B-Application of Scope - Pro",325.0
Version_of,"B-Version of 5.1, B-Application of Image - Pro Plus - Pro",325.0
Abbreviation_of,"B-Abbreviation of IPP, B-Application of Image - Pro Plus - Pro",325.0
Extension_of,"B-Extension of IC, B-Application of STATA",326.0
Developer_of,"B-Developer of StataCorp, B-Application of STATA",326.0
Version_of,"B-Version of 13.1, B-Application of STATA",326.0
Version_of,"B-Version of 13.0, B-Application of SPSS",327.0
Developer_of,"B-Developer of SPSS Inc, B-Application of SPSS",327.0
Citation_of,"B-Citation of [74], B-PlugIn of MCMCglmm 4",328.0
Citation_of,"B-Citation of [72], B-PlugIn of lme 4",328.0
Citation_of,"B-Citation of [53], B-Application of Chimera",329.0
AlternativeName_of,"B-AlternativeName of Leaf shApe deterMINAtion, B-Application of LAMINA",330.0
URL_of,"B-URL of http://sourceforge.net/projects/lamina, B-Application of LAMINA",330.0
Version_of,"B-Version of 1.4 .x, B-ProgrammingEnvironment of Java",330.0
Version_of,"B-Version of 5.0.1, B-Application of Statview",331.0
Developer_of,"B-Developer of Scientific Computing, B-Application of Statview",331.0
Version_of,"B-Version of 23, B-Application of SPSS",332.0
Developer_of,"B-Developer of IBM Japan Ltd, B-Application of SPSS",332.0
Developer_of,"B-Developer of Microsoft, B-OperatingSystem of Windows",333.0
Version_of,"B-Version of 3, B-License of GNU General Public License",334.0
License_of,"B-License of GNU General Public License, B-Application of Pep2Path",334.0
URL_of,"B-URL of http://pep2path.sourceforge.net/, B-Application of Pep2Path",334.0
Developer_of,"B-Developer of MS, B-OperatingSystem of Windows OS X",334.0
Developer_of,"B-Developer of StatSoft , Inc ., B-Application of STATISTICA",335.0
Version_of,"B-Version of 6.0, B-Application of STATISTICA",335.0
Developer_of,"B-Developer of Microsoft, B-OperatingSystem of Windows",336.0
Developer_of,"B-Developer of Mathworks Inc ., B-ProgrammingEnvironment of MATLAB",337.0
Specification_of,"B-Application of SPM, B-Application of Statistical Parametric Mapping",337.0
Developer_of,"B-Developer of Wellcome Department of Cognitive Neurology Inc ., B-Application of SPM",337.0
Version_of,"B-Version of 8, B-Application of SPM",337.0
Version_of,"B-Version of 7.8, B-ProgrammingEnvironment of MATLAB",337.0
PlugIn_of,"B-PlugIn of DriverNet, B-PlugIn of Bioconductor",338.0
URL_of,"B-URL of http://compbio.bccrc.ca/software/drivernet/, B-PlugIn of DriverNet",338.0
AlternativeName_of,"B-AlternativeName of Statistical Package for the Social Sciences, B-Application of SPSS",339.0
Version_of,"B-Version of 18.0, B-Application of SPSS",339.0
Version_of,"B-Version of 16.2, B-Application of Minitab",340.0
Developer_of,"B-Developer of Minitab Inc ., B-Application of Minitab",340.0
no_relation,"O of O, O of O",341.0
Version_of,"B-Version of 9.3, B-Application of SAS",342.0
Developer_of,"B-Developer of SAS Institute, B-Application of SAS",342.0
Version_of,"B-Version of 1.7.5, B-PlugIn of psych",343.0
Version_of,"B-Version of 0.6.3, B-PlugIn of tidyr",343.0
Version_of,"B-Version of 0.5.0, B-PlugIn of dplyr",343.0
Citation_of,"B-Citation of [22], B-PlugIn of dplyr",343.0
Citation_of,"B-Citation of [23], B-PlugIn of psych",343.0
PlugIn_of,"B-PlugIn of tidyr, B-ProgrammingEnvironment of R",343.0
Citation_of,"B-Citation of [24], B-PlugIn of tidyr",343.0
PlugIn_of,"B-PlugIn of psych, B-ProgrammingEnvironment of R",343.0
PlugIn_of,"B-PlugIn of dplyr, B-ProgrammingEnvironment of R",343.0
Version_of,"B-Version of 10, B-Application of Stata",344.0
Version_of,"B-Version of 3.5.4, B-Application of EpiInfo",344.0
Citation_of,"B-Citation of [17], B-Application of FreeSurfer",345.0
URL_of,"B-URL of http://surfer.nmr.mgh.harvard.edu, B-Application of FreeSurfer",345.0
Version_of,"B-Version of 16.0, B-Application of SPSS",346.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",346.0
Version_of,"B-Version of 3.0, B-Application of Cervus",347.0
Citation_of,"B-Citation of [ 49 , 50 ], B-Application of Cervus",347.0
no_relation,"O of O, O of O",348.0
Developer_of,"B-Developer of VERBI Software , Consult . Sozialforschung . GmbH, B-Application of MAXQDA",349.0
Version_of,"B-Version of 10, B-Application of MAXQDA",349.0
no_relation,"O of O, O of O",350.0
URL_of,"B-URL of http://bioinformatics.ua.pt/software/mafco, B-Application of MAFCO",351.0
URL_of,"B-URL of https://github.com/lumiratos/mafco, B-Application of MAFCO",351.0
URL_of,"B-URL of http://www.cbs.dtu.dk/services/SignalP, B-Application of SignalP",352.0
Version_of,"B-Version of 3.0, B-Application of SignalP",352.0
URL_of,"B-URL of http://smart.emblheidelberg.de, B-Application of SMART",352.0
AlternativeName_of,"B-AlternativeName of hierarchical drift diffusion model, B-PlugIn of HDDM",353.0
License_of,"B-License of GPL, B-PlugIn of IDEPI",354.0
Version_of,"B-Version of 3.0, B-License of GPL",354.0
URL_of,"B-URL of https://github.com/veg/idepi, B-PlugIn of IDEPI",354.0
Citation_of,"B-Citation of [37], B-Application of MAXQDA",355.0
Release_of,"B-Release of 2007, B-Application of MAXQDA",355.0
URL_of,"B-URL of www.psychtoolbox.org, B-PlugIn of Psychtoolbox",356.0
Version_of,"B-Version of 3, B-PlugIn of Psychtoolbox",356.0
Version_of,"B-Version of 7.1, B-ProgrammingEnvironment of MATLAB",356.0
Developer_of,"B-Developer of MathWorks Inc ., B-ProgrammingEnvironment of MATLAB",356.0
PlugIn_of,"B-PlugIn of Psychtoolbox, B-ProgrammingEnvironment of MATLAB",356.0
Version_of,"B-Version of 9, B-Application of JMP",357.0
Developer_of,"B-Developer of SAS Institute, B-Application of JMP",357.0
Version_of,"B-Version of 13.0, B-Application of SPSS",358.0
Version_of,"B-Version of 17.0, B-Application of AMOS",358.0
Citation_of,"B-Citation of [73,109], B-Application of SOCPROG",359.0
Version_of,"B-Version of 2.5, B-Application of SOCPROG",359.0
no_relation,"O of O, O of O",360.0
Version_of,"B-Version of 2, B-Application of PolyPhen",361.0
Version_of,"B-Version of 11.2, B-Application of STATA",362.0
Citation_of,"B-Citation of [44], B-Application of STATA",362.0
PlugIn_of,"B-PlugIn of Anatomy atlas, B-Application of SPM",363.0
Citation_of,"B-Citation of [51], B-PlugIn of Anatomy atlas",363.0
Citation_of,"B-Citation of [38], B-Application of MODELTEST",364.0
Version_of,"B-Version of 3.0, B-Application of MODELTEST",364.0
no_relation,"O of O, O of O",365.0
PlugIn_of,"B-PlugIn of Brain Connectivity Toolbox, B-ProgrammingEnvironment of Matlab",366.0
URL_of,"B-URL of www.brain-connectivity-toolbox.net, B-PlugIn of Brain Connectivity Toolbox",366.0
Citation_of,"B-Citation of [17], B-PlugIn of Brain Connectivity Toolbox",366.0
URL_of,"B-URL of https://cran.r-project.org/web/packages/gtx/index.html, B-PlugIn of GTX",367.0
PlugIn_of,"B-PlugIn of GTX, B-ProgrammingEnvironment of R",367.0
Developer_of,"B-Developer of CDC, B-Application of EPI INFO",368.0
Developer_of,"B-Developer of Microsoft, B-Application of Excel",368.0
Version_of,"B-Version of 5, B-Application of EPI INFO",368.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",369.0
Version_of,"B-Version of 22, B-Application of SPSS Statistics",369.0
Version_of,"B-Version of 12.0, B-Application of Stata",370.0
Extension_of,"B-Extension of SE, B-Application of Stata",370.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",371.0
Version_of,"B-Version of 19, B-Application of SPSS",371.0
URL_of,"B-URL of http://support.sas.com/kb/24/982.html, B-Application of SAS",372.0
Version_of,"B-Version of 9, B-Application of SAS",372.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",373.0
Version_of,"B-Version of 6, B-Application of Prism",373.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",373.0
Version_of,"B-Version of 17, B-Application of PASW Statistics",374.0
Developer_of,"B-Developer of SPSS , Inc ., B-Application of PASW Statistics",374.0
Version_of,"B-Version of 21, B-Application of SPSS",375.0
Developer_of,"B-Developer of StataCorp, B-Application of STATA",376.0
Version_of,"B-Version of 10.1, B-Application of STATA",376.0
Extension_of,"B-Extension of SE, B-Application of STATA",376.0
Developer_of,"B-Developer of Systat Software Inc ., B-Application of SigmaStat",377.0
Version_of,"B-Version of 3.1, B-Application of SigmaStat",377.0
Developer_of,"B-Developer of University of Oslo, B-Application of Bioportal",378.0
URL_of,"B-URL of http://www.bioportal.uio.no, B-Application of Bioportal",378.0
URL_of,"B-URL of http://www.fragit.org, B-SoftwareCoreference of web service",379.0
Citation_of,"B-Citation of [44], B-SoftwareCoreference of web service",379.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",380.0
Version_of,"B-Version of 22.0, B-Application of SPSS Statistics",380.0
Version_of,"B-Version of 2, B-Application of COLONY",381.0
Citation_of,"B-Citation of [51], B-Application of COLONY",381.0
Version_of,"B-Version of 2.0, B-License of Artistic License",382.0
License_of,"B-License of Artistic License, B-Application of ASPASIA",382.0
URL_of,"B-URL of http://www.york.ac.uk/ycil/software, B-Application of ASPASIA",382.0
Version_of,"B-Version of 7.0, B-Application of Prism",383.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",383.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",383.0
URL_of,"B-URL of www.R-project.org, B-ProgrammingEnvironment of R",384.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",384.0
Version_of,"B-Version of 3.2.2, B-ProgrammingEnvironment of R",384.0
Release_of,"B-Release of 2015, B-Application of Stata",384.0
Version_of,"B-Version of 14, B-Application of Stata",384.0
Version_of,"B-Version of 14.0, B-Application of Stata",385.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",385.0
Version_of,"B-Version of 1.3, B-Application of ENMtools",386.0
Citation_of,"B-Citation of [31], B-Application of ENMtools",386.0
Developer_of,"B-Developer of SAS Institute Inc ., B-Application of SAS",387.0
Version_of,"B-Version of 9.4, B-Application of SAS",387.0
Citation_of,"B-Citation of [18], B-Application of COANCESTRY",388.0
Citation_of,"B-Citation of [16], B-Application of MLRELATE",388.0
Citation_of,"B-Citation of [17], B-Application of COLONY",388.0
Developer_of,"B-Developer of Adobe, B-Application of Acrobat",389.0
Extension_of,"B-Extension of Pro, B-Application of Acrobat",389.0
Developer_of,"B-Developer of Microsoft, B-Application of Access",390.0
Version_of,"B-Version of XP, B-OperatingSystem of Windows",391.0
Version_of,"B-Version of NT, B-OperatingSystem of Windows",391.0
Version_of,"B-Version of 2003, B-OperatingSystem of Windows",391.0
Version_of,"B-Version of Vista, B-OperatingSystem of Windows",391.0
Developer_of,"B-Developer of StataCorp, B-Application of STATA",392.0
Version_of,"B-Version of 11.0, B-Application of STATA",392.0
no_relation,"O of O, O of O",393.0
Specification_of,"B-Application of SPSS, B-Application of SPSS",394.0
Version_of,"B-Version of 23, B-Application of SPSS",394.0
Citation_of,"B-Citation of [44], B-Application of Praat",395.0
Developer_of,"B-Developer of The MathWorks , Inc ., B-ProgrammingEnvironment of MATLAB",395.0
no_relation,"O of O, O of O",396.0
Version_of,"B-Version of 3, B-License of GNU General Public License",397.0
URL_of,"B-URL of https://github.com/UcarLab/QuIN/, B-Application of QuIN",397.0
License_of,"B-License of GNU General Public License, B-Application of QuIN",397.0
Version_of,"B-Version of 2.5, B-Application of SeqScape",398.0
Developer_of,"B-Developer of Applied Biosystems, B-Application of SeqScape",398.0
Version_of,"B-Version of 8.1, B-Application of SAS",399.0
Developer_of,"B-Developer of SAS Institute Inc ., B-Application of JMP",399.0
Developer_of,"B-Developer of SAS Institute Inc . Institute Inc ., B-Application of SAS",399.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",400.0
Version_of,"B-Version of 11.2, B-Application of Stata",400.0
URL_of,"B-URL of http://encore-similarity.github.io/encore, B-PlugIn of ENCORE",401.0
License_of,"B-License of GNU general public license, B-PlugIn of ENCORE",401.0
Version_of,"B-Version of 3, B-License of GNU general public license",401.0
no_relation,"O of O, O of O",402.0
Developer_of,"B-Developer of SAS Institute, B-Application of SAS",403.0
Extension_of,"B-Extension of University Edition, B-Application of SAS",403.0
Abbreviation_of,"B-Abbreviation of JRE, B-Application of Java Runtime Environment",404.0
Version_of,"B-Version of 1.5, B-Application of Java Runtime Environment",404.0
PlugIn_of,"B-PlugIn of Eyelink Toolbox, B-PlugIn of Psychtoolbox Toolbox",405.0
PlugIn_of,"B-PlugIn of Psychtoolbox Toolbox, B-ProgrammingEnvironment of Matlab",405.0
Citation_of,"B-Citation of [73], B-PlugIn of Psychtoolbox Toolbox",405.0
Citation_of,"B-Citation of [74], B-PlugIn of Eyelink Toolbox",405.0
Developer_of,"B-Developer of Mathworks, B-ProgrammingEnvironment of Matlab",405.0
Version_of,"B-Version of 20, B-Application of SPSS Statistics",406.0
Developer_of,"B-Developer of IBM Corporation, B-Application of SPSS Statistics",406.0
Specification_of,"B-Application of SPSS Statistics, B-Application of SPSS Statistics",406.0
Developer_of,"B-Developer of IBM Corporation, B-Application of SPSS Statistics",406.0
URL_of,"B-URL of https://github.com/Grice-Lab/AlignerBoost, B-Application of AlignerBoost",407.0
Citation_of,"B-Citation of [59], B-Application of SMARTPCA",408.0
Version_of,"B-Version of 10210, B-Application of SMARTPCA",408.0
Release_of,"B-Release of R 2010a, B-ProgrammingEnvironment of MATLAB",409.0
Developer_of,"B-Developer of The MathWorks, B-ProgrammingEnvironment of MATLAB",409.0
Version_of,"B-Version of 6.3, B-Application of Visilog",410.0
Developer_of,"B-Developer of Noesis, B-Application of Visilog",410.0
Version_of,"B-Version of 17.0, B-Application of SPSS",411.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",411.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",412.0
Version_of,"B-Version of 17.0, B-Application of SPSS",412.0
no_relation,"O of O, O of O",413.0
Developer_of,"B-Developer of IBM SPSS, B-Application of SPSS",414.0
Version_of,"B-Version of 21, B-Application of SPSS",414.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",415.0
Version_of,"B-Version of 16.0, B-Application of SPSS",415.0
Specification_of,"B-Application of SPSS, B-Application of Statistical Package for Social Sciences",415.0
no_relation,"O of O, O of O",416.0
URL_of,"B-URL of http://www.inxightfedsys.com/pdfs/LinguistX_FinalWeb.pdf, B-Application of Inxight",417.0
URL_of,"B-URL of http://www.attivio.com/active-intelligence/aie-features/aie-language-processing.html, B-Application of Attivio",417.0
Release_of,"B-Release of 2011, B-Application of Stata",418.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",418.0
Version_of,"B-Version of 14, B-Application of Stata",418.0
Developer_of,"B-Developer of IBM Inc ., B-Application of SPSS",419.0
Specification_of,"B-Application of SPSS, B-Application of SPSS Statistics",419.0
Version_of,"B-Version of 21, B-Application of SPSS Statistics",419.0
URL_of,"B-URL of http://projects.bigcat.unimaas.nl/pathvisiorpc/, B-Application of PathVisioRPC",420.0
Version_of,"B-Version of 12, B-Application of STATA",421.0
Developer_of,"B-Developer of STATA Corp, B-Application of STATA",421.0
Version_of,"B-Version of IV, B-Application of Med - PC",422.0
Developer_of,"B-Developer of MedAssociates , Inc ., B-Application of Med - PC",422.0
Release_of,"B-Release of R 2010a, B-ProgrammingEnvironment of MATLAB",423.0
Developer_of,"B-Developer of The MathWorks, B-ProgrammingEnvironment of MATLAB",423.0
URL_of,"B-URL of http://ctg.cncr.nl/software/magma, B-Application of MAGMA",424.0
Citation_of,"B-Citation of [26], B-Application of MAGMA",424.0
PlugIn_of,"B-PlugIn of FunciSNP, B-ProgrammingEnvironment of R",425.0
Citation_of,"B-Citation of [31], B-PlugIn of Bioconductor",425.0
License_of,"B-License of General Public License, B-PlugIn of FunciSNP",425.0
Specification_of,"B-License of GPLv, B-License of General Public License",425.0
Version_of,"B-Version of 3, B-License of GPLv",425.0
Citation_of,"B-Citation of [31], B-Application of Maxent",426.0
Citation_of,"B-Citation of [32], B-Application of Maxent",426.0
Version_of,"B-Version of 3.3.3e, B-Application of Maxent",426.0
PlugIn_of,"B-PlugIn of ChAMP, B-ProgrammingEnvironment of R",427.0
Citation_of,"B-Citation of [59], B-PlugIn of ChAMP",427.0
Version_of,"B-Version of 9.04, B-Application of SAS",428.0
no_relation,"O of O, O of O",429.0
Citation_of,"B-Citation of [24] - [41], B-PlugIn of Mixer",430.0
Citation_of,"B-Citation of [39] - [41], B-PlugIn of Mixer",430.0
PlugIn_of,"B-PlugIn of Mixer, B-ProgrammingEnvironment of R",430.0
Version_of,"B-Version of 9.0, B-Application of STATA",431.0
Developer_of,"B-Developer of StataCorp, B-Application of STATA",431.0
URL_of,"B-URL of http://csg.sph.umich.edu/abecasis/Pedstats/download/, B-Application of PEDSTATS",432.0
URL_of,"B-URL of http://faculty.washington.edu/wijsman/software.shtml, B-Application of GEMINI",432.0
URL_of,"B-URL of http://penncnv.openbioinformatics.org/en/latest/, B-Application of PennCNV",432.0
URL_of,"B-URL of http://faculty.washington.edu/wijsman/software.shtml, B-Application of PBAP",432.0
URL_of,"B-URL of https://www.stat.washington.edu/thompson/Genepi/MORGAN/Morgan.shtml, B-Application of MORGAN",432.0
URL_of,"B-URL of http://conifer.sourceforge.net, B-Application of CoNIFER",432.0
URL_of,"B-URL of http://pngu.mgh.harvard.edu/~purcell/plink/download.shtml, B-Application of PLINK",432.0
URL_of,"B-URL of https://faculty.washington.edu/browning/beagle/b3.html#beaglev4, B-Application of BEAGLE",432.0
URL_of,"B-URL of http://www.imperial.ac.uk/people/l.coin, B-Application of cnvHap",432.0
AlternativeName_of,"B-AlternativeName of Pedigree Based Analysis Pipeline, B-Application of PBAP",432.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",433.0
URL_of,"B-URL of www.graphpad.com., B-Developer of GraphPad Software",433.0
Version_of,"B-Version of 7.01, B-Application of Prism",433.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",433.0
Version_of,"B-Version of 19.0, B-Application of SPSS",434.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",434.0
Abbreviation_of,"B-Abbreviation of MEDYAN, B-Application of Mechanochemical Dynamics of Active Networks",435.0
URL_of,"B-URL of www.medyan.org, B-Application of Mechanochemical Dynamics of Active Networks",435.0
Developer_of,"B-Developer of WaveMetrics, B-Application of Igor pro",436.0
Version_of,"B-Version of 10, B-Application of pClamp pro",436.0
Version_of,"B-Version of 24.0, B-Application of SPSS",437.0
URL_of,"B-URL of https://github.com/i-git/FIMTrack, B-Application of FIMTrack",438.0
Version_of,"B-Version of 3, B-License of GNU GPLv",438.0
License_of,"B-License of GNU GPLv, B-Application of FIMTrack",438.0
Version_of,"B-Version of 15, B-Application of STATA",439.0
Citation_of,"B-Citation of [16], B-Application of STATA",439.0
Version_of,"B-Version of 7.1.4, B-Application of Geneious",440.0
URL_of,"B-URL of http://www.geneious.com/, B-Application of Geneious",440.0
Developer_of,"B-Developer of Biomatters, B-Application of Geneious",440.0
Specification_of,"B-Application of BEAST, B-Application of BEAST",441.0
Version_of,"B-Version of 2, B-Application of BEAST",441.0
Extension_of,"B-Extension of 64 - bit, B-OperatingSystem of Debian",442.0
Citation_of,"B-Citation of [52], B-Application of NeuroDebian",442.0
Version_of,"B-Version of 7.0, B-OperatingSystem of Debian",442.0
URL_of,"B-URL of http://neuro.debian.net, B-Application of NeuroDebian",442.0
Version_of,"B-Version of wheezy, B-OperatingSystem of Debian",442.0
Version_of,"B-Version of 2.9.3.2, B-Application of FSTAT",443.0
Citation_of,"B-Citation of [55], B-Application of FSTAT",443.0
Citation_of,"B-Citation of [67], B-Application of Ctrax",444.0
no_relation,"O of O, O of O",445.0
no_relation,"O of O, O of O",446.0
no_relation,"O of O, O of O",447.0
Specification_of,"B-Application of SPSS Statistics, B-Application of SPSS Statistics",448.0
Version_of,"B-Version of 22.0, B-Application of SPSS Statistics",448.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",448.0
Version_of,"B-Version of 64bit, B-OperatingSystem of Windows",449.0
Version_of,"B-Version of 7, B-OperatingSystem of Windows",449.0
Developer_of,"B-Developer of Microsoft, B-OperatingSystem of Windows",449.0
Version_of,"B-Version of 1.9, B-Application of PLINK",450.0
Version_of,"B-Version of 1.9, B-Application of PLINK",450.0
Citation_of,"B-Citation of [29], B-Application of PLINK",450.0
URL_of,"B-URL of https://atgu.mgh.harvard.edu/plinkseq/, B-Application of PLINK / SEQ",450.0
Version_of,"B-Version of 19.0, B-Application of Statistical Package for the Social Sciences",451.0
